ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490090930,"VIA ARNALDO BONAVENTURA"
490092020,"VIA ARTURO CONTI"
490097630,"VIA ARTURO GRAF"
490090390,"VIA ASPROMONTE"
490094030,"VIA ASTOLFO LUNARDI"
490094170,"VIA ATHOS MAINARDI"
490096555,"VIA ATHOS SETTI"
490093930,"VIA AUGUSTO LIVERANI"
490095110,"VIA AUGUSTO NOVELLI"
490096130,"VIA AUGUSTO RIGHI"
490093728,"VIA AURELIO LAMPREDI"
490095080,"VIA AURELIO NICOLODI"
490097100,"VIA AURELIO UGOLINI"
490090430,"VIA AZZATI"
490090440,"VIA BACIOCCHI"
490090660,"VIA BASILICATA"
490090670,"VIA BASSA"
490090710,"VIA BASTOGI"
490090720,"VIA BAT-YAM"
490090240,"VIA BEATO ANGELICO"
490090735,"VIA BELGIO"
490091030,"VIA BENEDETTO BRIN"
490090770,"VIA BENGASI"
490090780,"VIA BENVENUTO BENVENUTI"
490091660,"VIA BENVENUTO CELLINI"
490095195,"VIA BEPPE ORLANDI"
490090960,"VIA BERNARDETTO BORROMEI"
490090800,"VIA BERNARDINA"
490095940,"VIA BERNARDO PRATO"
490090830,"VIA BEZZECCA"
490090910,"VIA BONAINI"
490090950,"VIA BORRA"
490091020,"VIA BRIGATA GARIBALDI"
490091080,"VIA BRUNO BUOZZI"
490091050,"VIA BUIA"
490091055,"VIA BULGARIA"
490091070,"VIA BUONTALENTI"
490091120,"VIA CADUTI DEL LAVORO"
490091130,"VIA CADUTI DI MARZABOTTO"
490091135,"VIA CADUTI FORZE POLIZIA"
490091115,"VIA CADUTI NEI LAGER NAZISTI"
490092744,"VIA CAFIERO FILIPPELLI"
490091140,"VIA CAIROLI"
490091150,"VIA CALABRIA"
490091160,"VIA CALAFATI"
490091175,"VIA CALATA LUCCA"
490091170,"VIA CALATAFIMI"
490091180,"VIA CALZABIGI"
490091225,"VIA CAMPANIA"
490091245,"VIA CAMPO DI MARTE"
490091240,"VIA CARLO ANTONIO CAMPIONI"
490090795,"VIA CARLO BERNHEIMER"
490090850,"VIA CARLO BINI"
490091540,"VIA CARLO CATANZARO"
490091570,"VIA CARLO CATTANEO"
490100004,"VIA CARLO COCCIOLI"
490093970,"VIA CARLO LORENZINI"
490094660,"VIA CARLO MEYER"
490095680,"VIA CARLO PIGLI"
490095760,"VIA CARLO PISACANE"
490095970,"VIA CARLO PUINI"
490096540,"VIA CARLO SERVOLINI"
490096860,"VIA CARLO TESI"
490093630,"VIA CAROLINA INTERNARI"
490091410,"VIA CARRAIA"
490091430,"VIA CARROZZIERI"
490091490,"VIA CASTELLI"
490091590,"VIA CAVALLETTI"
490091630,"VIA CECCONI"
490090630,"VIA CESARE BARTOLENA"
